"","Case","l_sub","a_poly","b_poly","c_poly","c_star","t_star","r_sea","m_str","m_con","a_ppl","d_i","r_str","r_con","r_ppl","r","slr","rate_op1","rate_op2","rate_op3","rate_op4"
"2110",2110,0,0,1.79,0.029,2.06,34,0.97,-0.03,-0.03,0.41,0.09,-6e-04,2e-04,-0.003,0.052,0.91,50,41,87,76
"2111",2111,0,0,2.67,0.066,18.92,85,0.94,-0.01,0.08,-0.16,-0.05,6e-04,-5e-04,-0.001,0.099,2,25,43,39,83
"2112",2112,0,0,0.9,0.047,4.54,89,0.86,-0.06,-0.09,-0.46,0.05,-9e-04,-6e-04,-0.001,0.063,0.09,27,25,53,44
"2113",2113,0,0,2.43,0.04,19.85,75,0.92,0,0.04,0.24,-0.08,-1e-04,1e-04,-0.004,0.053,1.28,41,34,40,62
"2114",2114,0,0,1.97,0.026,15.17,95,0.88,0.04,-0.09,0.11,0.04,-5e-04,0,-0.001,0.041,1.99,48,41,86,59
"2115",2115,0,0,1.69,0.048,3.41,59,0.82,-0.02,-0.04,-0.4,-0.06,-6e-04,0.001,-0.003,0.056,1.8,47,27,33,57
"2116",2116,0,0,1.01,0.062,13.36,87,0.95,0.02,0,0.07,0.04,-4e-04,2e-04,-0.002,0.093,0.83,44,31,33,76
"2117",2117,0,0,2.23,0.008,15.79,89,0.95,-0.08,0,-0.41,0.04,-6e-04,-0.001,-0.001,0.072,0.19,29,43,74,56
"2118",2118,0,0,3.78,0.059,16.85,65,0.88,-0.01,0.06,0.05,0.06,2e-04,-3e-04,-0.004,0.093,1.17,46,48,59,58
"2119",2119,0,0,1.92,0.066,9.22,54,0.88,-0.03,-0.07,-0.48,-0.09,9e-04,-9e-04,-0.004,0.091,1.16,45,29,34,75
"2120",2120,0,0,2.67,0.021,6.31,44,0.85,-0.06,-0.06,0.03,0.04,-6e-04,-4e-04,0.002,0.078,1.83,46,33,86,62
"2121",2121,0,0,2.87,0.031,19.34,73,0.89,-0.03,0.01,0.36,0.06,2e-04,-8e-04,0.004,0.038,1.15,32,48,45,38
"2122",2122,0,0,3.19,0.018,10.55,76,0.99,0.03,-0.08,-0.03,-0.06,4e-04,-4e-04,-0.004,0.061,1.63,40,50,45,80
"2123",2123,0,0,1.76,0.06,13.98,46,0.84,0.08,-0.06,0.14,-0.03,-4e-04,6e-04,-0.001,0.067,1.56,38,40,82,84
"2124",2124,0,0,3.02,0.035,15.27,97,0.95,0.05,-0.03,0.4,0.06,-6e-04,-7e-04,-0.004,0.074,1.64,37,48,44,36
"2125",2125,0,0,1.12,-0.003,2.3,65,0.85,-0.03,0.03,0.08,-0.05,6e-04,3e-04,-0.004,0.047,1.7,34,27,52,28
"2126",2126,0,0,3.22,0.032,3.83,95,0.84,0.03,0.04,0.37,0.08,-5e-04,-6e-04,0.004,0.035,1.66,28,41,58,50
"2127",2127,0,0,3.52,0.047,0.28,41,0.8,-0.02,0.04,-0.02,-0.01,-5e-04,0,0.002,0.06,0.25,39,26,72,46
"2128",2128,0,0,2.54,0.054,19.19,70,0.86,0,0.02,0.01,0.04,-2e-04,2e-04,-0.002,0.083,0.77,43,44,60,74
"2129",2129,0,0,2.58,0.011,6.91,47,0.93,-0.1,0.01,0.26,-0.04,-7e-04,-9e-04,-0.002,0.045,1.89,36,46,26,89
"2130",2130,0,0,2.85,-0.003,0.09,38,0.82,0.05,0.09,-0.2,-0.09,-9e-04,9e-04,-0.005,0.034,1.46,39,45,57,50
"2131",2131,0,0,2.88,0.068,4.32,34,0.92,0.01,0.06,-0.46,0.01,-9e-04,5e-04,-0.001,0.035,0.26,30,29,46,38
"2132",2132,0,0,2.53,0.029,8.28,72,0.87,0.04,-0.09,0.21,0.01,-8e-04,9e-04,-0.004,0.047,0.41,30,28,58,79
"2133",2133,0,0,2.59,0.028,15.04,75,0.97,0.02,0.05,-0.41,0.03,0,-6e-04,0.003,0.074,1.17,43,31,88,93
"2134",2134,0,0,3.28,0.043,4.74,76,0.91,-0.06,-0.09,0.49,0.1,7e-04,-6e-04,-0.004,0.05,0.09,25,43,93,65
"2135",2135,0,0,2.3,0.046,10.53,95,0.98,-0.08,-0.09,0.01,-0.04,0,-3e-04,0,0.094,1.6,35,31,54,92
"2136",2136,0,0,3.28,0.003,17.73,42,0.97,0.02,0.03,-0.21,-0.05,8e-04,-7e-04,-0.001,0.057,0.66,35,27,50,48
"2137",2137,0,0,2.35,0.005,5.16,89,0.87,-0.06,-0.07,-0.09,-0.08,0,-7e-04,0.005,0.097,0.39,36,37,64,40
"2138",2138,0,0,3.59,0.001,18.55,59,0.98,-0.04,0.09,0.36,0.07,9e-04,-5e-04,0.004,0.063,1.95,36,37,39,87
"2139",2139,0,0,1.67,0.036,11.07,90,0.88,0.09,0.02,-0.14,0.04,3e-04,-3e-04,0,0.042,1.19,33,26,76,75
"2140",2140,0,0,1.27,0.025,4.12,77,0.89,0.03,-0.05,-0.44,0.03,8e-04,6e-04,0.003,0.069,1.51,37,48,60,83
"2141",2141,0,0,1.44,0.052,1.06,82,0.96,-0.05,-0.04,-0.07,0.02,-8e-04,2e-04,0.004,0.038,1.97,44,41,49,79
"2142",2142,0,0,3.08,-0.002,15.42,53,0.96,-0.04,-0.06,0.15,0.09,5e-04,-3e-04,0.002,0.046,0.76,42,36,29,39
"2143",2143,0,0,0.9,0.044,0.79,96,0.9,0.04,-0.04,0.02,0.03,-8e-04,8e-04,0.003,0.041,0.49,45,33,93,95
"2144",2144,0,0,2.56,0.029,18.18,69,0.82,0.09,0.01,-0.14,0.03,-4e-04,-6e-04,0.003,0.036,0.31,26,44,32,88
"2145",2145,0,0,2.14,0.015,4.28,60,0.89,-0.05,-0.08,0.01,0.09,-4e-04,0.001,-0.005,0.061,0.63,36,47,75,60
"2146",2146,0,0,2.54,0.009,6.56,83,0.92,0.02,0.07,-0.48,-0.04,4e-04,8e-04,-0.003,0.043,0.27,44,27,71,42
"2147",2147,0,0,1.23,0.066,15.04,61,0.92,0.06,-0.09,0.45,-0.05,-3e-04,-5e-04,-0.001,0.097,0.95,32,39,93,50
"2148",2148,0,0,2.87,0.007,6.84,33,0.94,-0.09,0.03,0.29,-0.08,7e-04,5e-04,0.003,0.066,0.52,41,26,45,77
"2149",2149,0,0,2.73,0.059,16.96,50,0.81,0.09,-0.09,0.4,-0.01,-0.001,1e-04,0,0.032,0.75,35,50,36,81
"2150",2150,0,0,0.97,-0.003,6.71,78,0.94,0.08,-0.01,-0.07,-0.08,-7e-04,9e-04,0,0.062,1.1,44,33,39,47
"2151",2151,0,0,1.11,0.041,7.29,52,0.88,0.04,0.06,-0.34,0.08,-6e-04,-8e-04,-0.001,0.08,1.43,27,41,42,66
"2152",2152,0,0,2.17,0.024,5.33,65,0.94,0.08,-0.02,-0.24,-0.09,-5e-04,-9e-04,-0.002,0.046,1.6,32,27,50,36
"2153",2153,0,0,3.68,-0.004,3.88,46,0.88,0.09,0.04,-0.23,0.03,-2e-04,-1e-04,0.004,0.091,1.56,46,28,50,76
"2154",2154,0,0,3.67,0.021,17.58,36,0.89,-0.06,-0.04,0.33,0.09,9e-04,-2e-04,-0.004,0.096,0.17,46,48,36,76
"2155",2155,0,0,1.2,0.059,5.48,69,0.88,-0.02,0.07,-0.32,-0.05,-7e-04,-7e-04,-0.004,0.084,1.43,30,48,37,57
"2156",2156,0,0,2.02,0.052,6.64,79,0.81,0.05,0,-0.28,-0.02,2e-04,-9e-04,-0.003,0.07,0.07,37,39,59,27
"2157",2157,0,0,2.71,0.015,19.5,55,0.82,-0.04,0.1,-0.22,0.06,-1e-04,3e-04,-0.001,0.049,1.24,35,29,63,39
"2158",2158,0,0,1.41,0.01,11.06,34,0.82,0.08,0.01,-0.39,0.03,-4e-04,5e-04,0.001,0.056,0.18,38,45,36,78
"2159",2159,0,0,2.46,0.011,18.19,33,0.87,0.07,0.08,0.31,0.07,-3e-04,1e-04,-0.005,0.053,1.76,40,40,33,93
"2160",2160,0,0,3.15,0.06,6.76,44,0.93,-0.01,0.01,-0.49,-0.02,1e-04,-7e-04,0.005,0.06,0.45,48,46,33,68
"2161",2161,0,0,1.06,0.011,1.96,56,0.88,-0.05,0.02,-0.28,-0.04,3e-04,-3e-04,0.001,0.051,0.1,26,42,72,51
"2162",2162,0,0,1,0.064,19.68,81,0.91,0.06,0.05,-0.16,-0.07,6e-04,6e-04,-0.002,0.043,1.78,40,35,38,66
"2163",2163,0,0,1.85,0.04,18.86,44,0.86,-0.08,0.09,-0.23,0.07,5e-04,0.001,0.003,0.045,0.41,38,29,46,35
"2164",2164,0,0,1.14,0.066,17.85,73,0.85,-0.04,0.05,0.46,-0.02,2e-04,6e-04,-0.004,0.048,1.59,33,28,43,26
"2165",2165,0,0,2.8,0.035,7.99,43,0.9,0.05,0.01,-0.25,0.02,-3e-04,6e-04,0.003,0.037,1.11,32,46,63,28
"2166",2166,0,0,1.61,-0.001,10.66,92,0.87,-0.07,0.02,0.34,-0.05,0,-6e-04,-0.003,0.092,0.33,34,30,95,64
"2167",2167,0,0,2.77,0.068,19.22,71,0.88,0.05,0.03,-0.28,-0.08,-9e-04,9e-04,-0.001,0.072,1.99,35,38,89,56
"2168",2168,0,0,2.8,0.008,19.35,46,0.86,-0.02,0.03,-0.26,-0.04,3e-04,4e-04,0,0.098,1.71,39,38,36,55
"2169",2169,0,0,1.68,0.045,1.85,56,0.85,0.08,-0.03,0.5,-0.06,8e-04,4e-04,0,0.07,0.31,28,39,53,45
"2170",2170,0,0,2.28,0.059,6.96,46,0.88,-0.03,0.03,-0.36,-0.08,-7e-04,0.001,0,0.072,0.57,45,40,26,40
"2171",2171,0,0,3.78,0.045,9.16,99,0.81,0.08,0.06,0.45,0.09,-3e-04,-0.001,0.001,0.033,1.11,46,26,66,55
"2172",2172,0,0,3,0.027,8.16,78,1,-0.07,-0.1,0.13,-0.03,-0.001,-3e-04,0.002,0.082,0.87,31,42,86,37
"2173",2173,0,0,3.16,0.021,17.93,97,0.98,0.04,0.04,-0.08,-0.07,1e-04,-9e-04,0.003,0.08,0.27,40,37,93,75
"2174",2174,0,0,1.56,0.039,8.96,63,0.95,0.03,-0.09,-0.25,0.01,-4e-04,7e-04,0.003,0.045,1.57,49,36,41,59
"2175",2175,0,0,2.7,0.07,8.88,60,0.83,-0.04,-0.08,0,0.07,6e-04,9e-04,-0.003,0.092,1.5,46,36,61,68
"2176",2176,0,0,1.29,0.051,17.72,81,0.89,0.08,-0.05,0.49,-0.08,8e-04,-3e-04,0.002,0.03,0.04,49,46,73,67
"2177",2177,0,0,3.8,0.058,9.99,35,0.98,0.04,-0.02,-0.16,-0.02,-7e-04,-3e-04,0.005,0.044,1,25,32,65,85
"2178",2178,0,0,2,0.002,1.98,75,0.92,0.05,-0.04,-0.16,0.04,-5e-04,0.001,0.003,0.05,0.45,41,42,58,78
"2179",2179,0,0,2.33,0.046,10.5,67,0.88,-0.05,-0.04,0.42,0.02,9e-04,-7e-04,0.001,0.07,0.41,43,42,66,69
"2180",2180,0,0,1.46,0.044,11.81,68,0.84,-0.06,0.07,0.09,-0.05,3e-04,1e-04,0,0.071,1.34,43,46,61,31
"2181",2181,0,0,1.12,0.019,6.8,57,0.9,-0.06,0.03,-0.19,-0.02,2e-04,-9e-04,0.002,0.063,0.92,37,42,68,59
"2182",2182,0,0,2.93,0.052,17.52,38,0.92,0.03,0.07,-0.34,0.03,-7e-04,8e-04,-0.005,0.095,0.2,47,30,26,59
"2183",2183,0,0,1.09,0.066,3.03,69,0.83,0,0.06,-0.26,-0.01,-7e-04,4e-04,0.004,0.055,1.74,42,31,47,52
"2184",2184,0,0,2.33,0.015,17.77,83,0.82,0.02,-0.02,0.11,-0.08,-9e-04,7e-04,-0.001,0.053,0.86,40,48,51,65
"2185",2185,0,0,2.54,0.02,16.18,92,0.98,0.03,0.03,0.02,-0.01,-4e-04,9e-04,0,0.049,1.93,30,29,45,29
"2186",2186,0,0,1.41,0.062,4.47,79,0.88,-0.04,0.09,0.15,-0.07,6e-04,5e-04,0.003,0.054,1.45,45,36,79,30
"2187",2187,0,0,1.83,0.054,11.73,51,0.94,-0.08,0.07,0.3,-0.09,7e-04,-2e-04,0.002,0.054,0.83,45,48,92,42
"2188",2188,0,0,1.55,0.062,8.75,60,0.86,0.04,-0.08,-0.2,0.07,3e-04,5e-04,0.002,0.051,0.91,46,27,95,95
"2189",2189,0,0,3.32,0.021,17.43,88,0.86,-0.07,-0.06,-0.22,0.02,2e-04,-8e-04,0.004,0.072,1.46,27,48,28,91
"2190",2190,0,0,3.28,0.011,13.91,88,0.92,0.03,0.01,0.42,0.07,3e-04,-9e-04,-0.003,0.042,0.74,43,31,26,76
"2191",2191,0,0,2.58,0.061,10.61,98,0.89,0.04,0.03,0.04,-0.01,-3e-04,3e-04,-0.001,0.081,0.07,35,26,33,87
"2192",2192,0,0,2.98,0.058,19.9,79,0.99,-0.04,-0.07,0.17,0.02,8e-04,-6e-04,0.004,0.067,1.22,36,25,39,83
"2193",2193,0,0,1.76,0.063,19.69,92,0.91,0.02,-0.09,-0.24,0.07,3e-04,5e-04,-0.002,0.062,1.01,45,41,49,86
"2194",2194,0,0,2.35,0.013,4.9,93,0.92,0.08,0.01,0.13,-0.03,-9e-04,1e-04,-0.001,0.053,0.13,29,42,43,53
"2195",2195,0,0,2.82,0.046,0.46,80,0.88,0.02,-0.06,-0.32,0.03,9e-04,-6e-04,0.004,0.071,1.09,36,48,47,35
"2196",2196,0,0,3.03,0,7.38,94,0.98,-0.05,0.05,0.49,-0.04,2e-04,-6e-04,0.001,0.062,0.45,46,45,58,61
"2197",2197,0,0,1.71,0.049,15.96,33,0.98,-0.02,-0.02,0.28,-0.05,2e-04,5e-04,-0.004,0.069,0.77,31,43,72,51
"2198",2198,0,0,3.13,0.012,4.72,48,0.93,0.01,0.09,-0.25,-0.1,-2e-04,6e-04,-0.004,0.094,1.8,38,27,71,27
"2199",2199,0,0,3.09,0.032,4.77,50,1,0.08,0.04,-0.37,-0.03,4e-04,8e-04,-0.002,0.084,0.98,36,35,84,35
"2200",2200,0,0,3.57,0,16.73,38,0.85,-0.04,-0.05,0.05,-0.01,-7e-04,4e-04,-0.001,0.038,1.72,37,49,26,43
"2201",2201,0,0,1.23,0.07,15.95,76,0.94,-0.06,-0.08,0.48,-0.04,2e-04,4e-04,-0.003,0.073,1.81,42,40,43,93
"2202",2202,0,0,2.17,0.014,13.32,86,0.84,-0.07,0.1,-0.31,-0.01,-8e-04,-1e-04,-0.003,0.098,0.65,45,33,73,40
"2203",2203,0,0,2.64,0.056,6.66,77,0.95,0.08,0.01,0.15,0.04,7e-04,5e-04,0.004,0.046,0.22,26,40,68,61
"2204",2204,0,0,3.17,0.06,7.46,39,0.81,0.05,-0.03,-0.27,0.08,-5e-04,-9e-04,-0.001,0.05,1.81,40,41,57,67
"2205",2205,0,0,2.76,0.058,15.42,38,0.93,0.01,0.03,0.36,0.09,-7e-04,7e-04,-0.004,0.047,0.41,50,41,39,27
"2206",2206,0,0,1.83,0.051,7.7,86,0.88,0.06,-0.1,0.31,-0.01,1e-04,4e-04,-0.002,0.093,1.35,43,27,51,71
"2207",2207,0,0,1.53,0.015,11.04,82,0.81,0.09,0.09,0.28,0.1,1e-04,-8e-04,-0.003,0.091,1.9,38,41,49,85
"2208",2208,0,0,3.75,0.044,5.26,68,0.96,0.01,0.04,0.2,-0.07,-5e-04,1e-04,0,0.094,0.75,25,41,34,64
"2209",2209,0,0,1.34,0.005,1.62,36,0.91,0,0.08,-0.08,-0.1,6e-04,-0.001,0.004,0.074,0.72,36,34,55,74
"2210",2210,0,0,2.47,0.056,10.25,72,0.86,0.02,0.02,0.2,0.02,8e-04,-6e-04,-0.004,0.033,0,27,37,89,49
"2211",2211,0,0,3.39,0.003,0.95,46,0.99,0.04,0.09,0.39,0.02,4e-04,-7e-04,0.001,0.057,0.34,36,30,44,76
"2212",2212,0,0,3.53,0.066,6.29,51,0.94,-0.08,-0.01,-0.38,0.06,-8e-04,9e-04,0.003,0.056,0.62,43,30,61,33
"2213",2213,0,0,2.24,0.035,3.74,72,0.94,0.04,0.03,0.19,0.09,-5e-04,-1e-04,0.003,0.045,1.09,45,35,35,73
"2214",2214,0,0,2.93,0.029,0.23,65,0.86,0.06,-0.03,-0.38,0.06,-1e-04,5e-04,0.004,0.075,1.93,37,31,34,33
"2215",2215,0,0,2.67,0.066,11.9,87,0.85,-0.08,0.06,0.4,0.08,0.001,5e-04,-0.002,0.049,1.18,46,42,53,45
"2216",2216,0,0,3.65,0.011,9.9,88,0.99,0.08,-0.02,0.11,-0.05,-3e-04,4e-04,0.002,0.04,1.5,30,35,65,67
"2217",2217,0,0,1.19,0.054,3.74,99,0.9,-0.06,-0.09,0.22,-0.1,0.001,1e-04,0.005,0.095,1.54,36,30,87,85
"2218",2218,0,0,2.66,0.013,10.33,92,0.88,0.01,0.09,-0.32,-0.08,-5e-04,-3e-04,0.004,0.087,1.57,40,26,41,58
"2219",2219,0,0,2.29,0.031,3.48,92,0.87,0.01,0.01,0.02,-0.04,-6e-04,-8e-04,0.003,0.099,0.76,46,50,42,34
"2220",2220,0,0,1.9,0.06,13.55,37,0.99,-0.01,0.01,0.13,-0.04,-4e-04,4e-04,-0.002,0.039,0.63,49,47,94,48
"2221",2221,0,0,2.5,-0.004,5.21,75,0.9,-0.01,-0.03,-0.16,0.03,8e-04,2e-04,-0.005,0.069,0.97,36,29,81,64
"2222",2222,0,0,2.02,0.033,10.78,89,0.98,0.09,-0.02,0.43,-0.04,7e-04,0,0.002,0.053,1.92,32,43,52,68
"2223",2223,0,0,2.79,0.001,15.16,45,0.88,0.09,0.09,0.21,0.01,-5e-04,7e-04,0.002,0.043,1.63,50,39,67,26
"2224",2224,0,0,2.15,0.052,4.03,73,0.87,-0.06,0.07,0.1,-0.06,3e-04,9e-04,0,0.049,1.66,46,34,60,51
"2225",2225,0,0,2.77,0.06,8.12,50,0.95,-0.09,0,0.18,0.02,-5e-04,5e-04,0.002,0.057,0.35,38,26,68,75
"2226",2226,0,0,1.54,0.01,5.41,56,0.99,0.04,-0.04,0.05,0.06,-2e-04,-8e-04,-0.002,0.038,1.35,46,41,82,77
"2227",2227,0,0,3,0.025,3.23,55,0.85,0.04,0.07,-0.25,0.07,0.001,6e-04,-0.002,0.042,0.53,26,43,65,85
"2228",2228,0,0,2.64,0.064,12.39,81,0.89,0.1,-0.03,0.48,0.01,5e-04,2e-04,-0.002,0.062,0.07,34,48,79,62
"2229",2229,0,0,1.6,0.052,10.45,39,0.82,0.05,0.01,0.03,0.07,-8e-04,-8e-04,-0.003,0.038,1.05,50,36,66,38
"2230",2230,0,0,2.33,0.039,3.89,53,0.92,-0.02,-0.05,0.45,0.03,-9e-04,2e-04,0.005,0.077,0.79,49,41,66,35
"2231",2231,0,0,1.15,0.028,2.81,34,0.96,-0.03,-0.06,-0.32,-0.08,1e-04,3e-04,0,0.05,0.74,43,30,64,59
"2232",2232,0,0,3.32,0.021,5.04,77,0.95,-0.01,-0.05,0.35,-0.02,-4e-04,9e-04,-0.001,0.076,0.77,27,46,89,35
"2233",2233,0,0,3.38,0.03,12.23,93,0.89,-0.04,0.01,0.44,0.09,0,5e-04,0.004,0.064,1.68,50,46,28,37
"2234",2234,0,0,2.22,0.031,12.24,45,0.88,0.04,0.08,-0.4,-0.06,4e-04,9e-04,-0.004,0.042,1.41,42,43,47,33
"2235",2235,0,0,2.63,-0.001,10.97,66,0.95,-0.1,-0.1,0.13,0.05,7e-04,-3e-04,0.004,0.096,0.78,33,41,48,33
"2236",2236,0,0,2.11,0.016,3,58,0.96,0.02,-0.04,-0.3,-0.07,-2e-04,9e-04,0.001,0.091,1.99,41,34,37,56
"2237",2237,0,0,2.38,0.032,6.87,40,0.96,0.02,-0.04,0.35,-0.08,-0.001,4e-04,0.001,0.074,0.81,38,45,87,35
"2238",2238,0,0,2.99,0.034,6.2,91,0.95,0.04,-0.02,-0.23,0.09,-0.001,3e-04,-0.004,0.034,0.45,47,31,48,73
"2239",2239,0,0,1.98,0.03,6.25,92,0.92,0.08,-0.07,-0.42,0.02,0,-4e-04,-0.001,0.076,0.35,42,41,42,42
"2240",2240,0,0,3.47,0.016,17.39,76,0.85,-0.06,-0.04,0.05,-0.05,-8e-04,9e-04,-0.001,0.047,0.83,34,36,56,55
"2241",2241,0,0,2.46,0.01,13.84,67,0.91,-0.03,-0.01,-0.11,0,-3e-04,6e-04,-0.002,0.036,0.83,30,43,66,65
"2242",2242,0,0,1.95,0.052,2.33,84,0.94,0,0.02,-0.28,0.06,-6e-04,-4e-04,0.001,0.034,0.33,29,28,31,54
"2243",2243,0,0,3.51,0.043,4.71,88,0.86,-0.1,0.07,-0.36,0.1,0,5e-04,-0.004,0.054,1.05,36,49,45,75
"2244",2244,0,0,2.56,0.044,15.45,83,0.97,0.01,0.1,-0.31,0,7e-04,-7e-04,0.004,0.041,1.86,26,27,94,27
"2245",2245,0,0,2.03,0.031,18.6,33,0.98,-0.02,-0.07,0.1,0.03,-5e-04,-8e-04,-0.002,0.088,1.81,49,46,62,62
"2246",2246,0,0,3.66,0.069,8.84,74,1,0.01,-0.06,-0.13,0.04,-4e-04,-1e-04,0.004,0.054,1.68,36,43,84,47
"2247",2247,0,0,2.99,-0.004,16.45,45,0.9,-0.09,0.02,-0.26,-0.08,-5e-04,-5e-04,0.004,0.084,1.74,26,39,84,93
"2248",2248,0,0,2.64,0.043,3.43,59,0.86,0,0.04,0.1,-0.02,-3e-04,-8e-04,-0.001,0.042,0.37,37,28,94,83
"2249",2249,0,0,1.44,-0.001,9.6,48,0.81,0.05,-0.09,0.46,0.04,-2e-04,2e-04,-0.003,0.042,1.2,35,32,91,26
"2250",2250,0,0,1.33,-0.004,8.22,82,0.86,-0.05,0.06,0.03,0.02,-8e-04,-5e-04,0.005,0.078,0.43,38,28,61,77
"2251",2251,0,0,3.16,0.036,9.57,94,0.83,-0.09,0.09,-0.38,0.08,8e-04,-3e-04,0.001,0.068,1.19,29,37,66,41
"2252",2252,0,0,2.24,0.006,10.67,98,0.95,0.04,0.02,0.05,-0.04,1e-04,9e-04,0.003,0.062,0.44,49,36,92,34
"2253",2253,0,0,1.29,0.01,14.78,37,0.8,0.04,0.03,0.42,-0.06,-6e-04,-2e-04,0.002,0.031,1.48,37,44,59,88
"2254",2254,0,0,3.62,0.055,17.02,36,0.81,0.02,0.06,0.36,0.06,-6e-04,6e-04,-0.002,0.089,1.75,48,26,69,80
"2255",2255,0,0,3.44,0.027,1.95,94,0.98,-0.05,0.09,0.24,0.01,-6e-04,-7e-04,-0.004,0.042,1.4,46,49,76,85
"2256",2256,0,0,2.08,0.069,4.03,93,0.9,-0.06,0.03,0.28,0.04,0,-6e-04,-0.001,0.033,1.85,42,29,25,44
"2257",2257,0,0,2.08,0.07,14.85,92,0.91,0.05,0.08,0.5,0.01,8e-04,4e-04,-0.003,0.092,0.19,39,38,42,95
"2258",2258,0,0,3.34,0.065,0.07,95,0.87,0.05,-0.09,0.24,-0.02,-5e-04,-3e-04,0.005,0.05,1.92,47,30,48,88
"2259",2259,0,0,2.75,0.001,6.98,62,0.83,-0.03,-0.03,0.01,-0.07,-1e-04,0,-0.001,0.08,0.23,36,40,94,94
"2260",2260,0,0,1.94,0.022,11.45,98,0.98,0.1,0.01,-0.06,-0.08,-1e-04,2e-04,-0.004,0.046,1.07,30,33,86,63
"2261",2261,0,0,2.75,0.007,15.86,97,0.99,0.06,0.1,0.06,-0.07,2e-04,1e-04,-0.001,0.036,1.45,41,43,62,89
"2262",2262,0,0,3.63,0.061,12.13,57,0.94,0.03,0.04,0.14,0.04,7e-04,-9e-04,-0.001,0.038,0.91,49,45,40,63
"2263",2263,0,0,0.96,0.048,4.79,77,0.82,0.01,-0.07,0.28,0.02,-8e-04,-0.001,0.003,0.038,1.19,34,47,82,68
"2264",2264,0,0,2.82,0.066,9.5,74,0.91,-0.07,-0.07,0.03,-0.09,3e-04,8e-04,0.001,0.092,1.53,35,46,52,38
"2265",2265,0,0,2.31,0.001,19.48,82,0.95,0.07,0.04,-0.05,0,1e-04,3e-04,0.005,0.033,0.43,28,46,81,46
"2266",2266,0,0,1.23,0.017,6.38,41,0.95,0.1,-0.03,0.31,-0.09,-0.001,-4e-04,-0.001,0.06,1.3,35,39,49,67
"2267",2267,0,0,2.87,0.004,17.87,80,0.83,0.02,-0.03,0.32,-0.03,-7e-04,-9e-04,-0.001,0.042,1.3,32,35,37,26
"2268",2268,0,0,1.17,0.002,19.78,61,0.94,-0.05,-0.01,-0.39,0.06,-9e-04,-1e-04,0.004,0.031,0.04,42,43,87,48
"2269",2269,0,0,2.91,0,8.81,70,0.92,-0.05,0.02,-0.23,0.02,0,-1e-04,-0.002,0.045,1.23,41,33,56,89
"2270",2270,0,0,2.79,-0.003,15.6,95,0.96,0.08,0.04,-0.24,-0.05,1e-04,2e-04,0.002,0.066,1.06,45,34,78,49
"2271",2271,0,0,1.02,0.037,13.74,58,0.94,-0.06,0.05,0.13,0,9e-04,-6e-04,-0.002,0.086,0.44,26,36,63,25
"2272",2272,0,0,3.52,0.009,10.63,48,0.9,-0.1,0.02,0.05,-0.04,-1e-04,-0.001,-0.005,0.038,1.92,44,42,50,73
"2273",2273,0,0,3.42,0.011,5.24,70,0.81,-0.02,0,0.45,-0.02,-5e-04,6e-04,0.005,0.094,1.8,37,49,68,94
"2274",2274,0,0,1.97,0.017,3.13,77,0.89,0.09,-0.1,-0.03,-0.01,7e-04,3e-04,0,0.052,1.08,34,37,94,29
"2275",2275,0,0,2.5,0.049,12.89,86,0.85,-0.01,-0.03,0.09,-0.02,-0.001,9e-04,-0.003,0.074,0.24,36,38,27,45
"2276",2276,0,0,2.36,0.049,9.12,38,0.93,-0.06,-0.04,0.02,0.03,-1e-04,0,-0.004,0.094,0.19,40,47,53,27
"2277",2277,0,0,2.56,0.053,1.79,88,0.85,-0.08,0.09,-0.4,-0.09,7e-04,-4e-04,-0.005,0.071,1.06,36,40,34,48
"2278",2278,0,0,2.89,0.012,10.16,80,0.88,-0.03,-0.06,-0.11,0.05,3e-04,1e-04,-0.002,0.05,1.07,36,30,95,59
"2279",2279,0,0,1.73,0.059,19.48,92,0.83,0.03,0.02,0.44,-0.08,4e-04,-0.001,0.005,0.047,1.97,44,36,79,88
"2280",2280,0,0,2.69,0.025,16.94,46,0.98,-0.05,-0.06,-0.04,-0.01,-4e-04,-3e-04,0,0.036,0.35,35,39,64,48
"2281",2281,0,0,1.33,0.023,17.75,36,0.91,0.03,0,0.23,0.06,4e-04,7e-04,0.001,0.07,1.03,26,36,91,44
"2282",2282,0,0,2.96,0.027,16.32,88,1,0.03,-0.05,-0.43,0.05,4e-04,6e-04,0,0.065,0.73,26,34,48,52
"2283",2283,0,0,2.84,-0.003,7.26,37,0.93,-0.01,-0.07,0.27,0.07,5e-04,0,0.001,0.041,0.15,31,40,53,49
"2284",2284,0,0,2.24,0.001,19.62,59,0.83,0.04,0.06,-0.48,-0.09,1e-04,8e-04,-0.002,0.031,1.26,31,42,63,41
"2285",2285,0,0,2.45,-0.006,2.07,38,0.97,0.04,-0.06,-0.43,-0.06,-7e-04,-8e-04,0.003,0.094,1.73,43,36,32,28
"2286",2286,0,0,1.57,0.006,16.88,36,0.95,0.09,-0.09,-0.34,0.07,-5e-04,6e-04,0.002,0.06,0.97,43,29,62,27
"2287",2287,0,0,1.04,0.02,4.59,80,0.97,0,-0.1,-0.5,0.02,4e-04,4e-04,-0.004,0.079,1.5,49,32,54,44
"2288",2288,0,0,3.34,-0.005,15.11,76,0.93,0.05,-0.04,0,-0.07,7e-04,8e-04,0,0.051,0.67,40,42,64,88
